STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
MAHARASHTRA,2001,96878627,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,625,238,12255,171233,76.84,307713.0,2922.251617736117,4133.0,69.0,57707.0,2183563610.0,529.0,2239.0,15073.0,39866.0,57707.0,13.0,8.0,0.0
MANIPUR,2001,2302705,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,0,0,108,2489,70.48,22327.0,-53.60081738625101,0.0,4.0,331.0,12026868.0,20.0,19.0,75.0,217.0,331.0,2.701759269290071,-0.13134142609363053,0.029320694680568415
MEGHALAYA,2001,2318822,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,0,0,66,1687,62.56,22429.0,-88.11723280779536,65.0,14.0,663.0,12164035.0,97.0,125.0,170.0,271.0,663.0,0.0,0.0,0.0
MIZORAM,2001,888573,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,1,10,124,2246,88.49,21081.0,11.474155022020142,31.0,0.0,1321.0,11598070.0,3.0,23.0,417.0,878.0,1321.0,2.617481916259303,-0.6928468744460163,0.3997481196584687
NAGALAND,2001,1990036,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1,310,29,1234,66.59,16579.0,16.842306486893705,21.0,0.0,561.0,29678250.0,11.0,129.0,163.0,258.0,561.0,0.0,0.0,0.0
ODISHA,2001,36804660,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,1734,734,4897,46661,63.08,155707.0,473.7637064272369,212.0,11.0,9872.0,187558275.0,199.0,958.0,3093.0,5622.0,9872.0,3.0,4.0,0.0
PUNJAB,2001,24358999,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,134,0,2328,27774,69.65,50362.0,75.93927288599195,24.0,95.0,5101.0,300415230.0,45.0,131.0,1902.0,3023.0,5101.0,11.0,5.0,0.0
RAJASTHAN,2001,56507188,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,4892,1023,12057,155185,60.41,342239.0,1654.0135238257144,2883.0,26.0,25172.0,551391050.0,60.0,889.0,7284.0,16939.0,25172.0,4.0,3.0,0.0
SIKKIM,2001,540851,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,6,6,24,444,68.81,7096.0,-37.31529821155944,15.0,2.0,153.0,3285263.0,0.0,3.0,76.0,74.0,153.0,2.3897094560578065,-0.22055575777212333,-0.09187504012838277
TAMIL NADU,2001,62405679,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,2336,9,4835,154801,73.45,130060.0,986.7659825010351,626.0,34.0,23504.0,416683131.0,158.0,672.0,5965.0,16709.0,23504.0,3.447154580320226,3.62064680070505,-0.8023878161629745
TRIPURA,2001,3199203,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2,0,438,2801,73.19,10486.0,-36.18367848257081,20.0,17.0,546.0,10600429.0,26.0,63.0,198.0,259.0,546.0,2.4621335468221925,0.25797951118209284,0.47733444352441445
UTTAR PRADESH,2001,166197921,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,10732,254,19858,178129,57.36,240928.0,1837.1653255129272,150.0,57.0,40152.0,1342018407.0,905.0,3825.0,8411.0,27011.0,40152.0,15.0,53.0,0.0
UTTARAKHAND,2001,8489349,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,168,18,744,8073,71.62,53566.0,69.53759617339492,5.0,7.0,2175.0,48986057.0,32.0,191.0,533.0,1419.0,2175.0,1.0,0.0,0.0
WEST BENGAL,2001,80176197,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,10,2,6533,61563,68.64,88752.0,526.3306184624544,25.0,18.0,15605.0,297894274.0,274.0,660.0,426.0,14245.0,15605.0,0.0,0.0,0.0
A & N ISLANDS,2001,356152,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,0,1,34,658,81.3,8249.0,309.1269265899743,1872.144706814364,0.0,133.0,1957510.0,0.0,4.0,64.0,65.0,133.0,3.0935386761905237,15.61937874768875,7.981674063155117
