STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
UTTAR PRADESH,2002,169440795,6825,6283,1243,1415,1,1414,3430,2298,1132,552,59,2840,6126,22419,6353,16066,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,7927,61,15317,146037,59.26,240928.0,1615.7652751438304,78.0,80.0,31937.0,705962269.0,552.0,2840.0,6126.0,22419.0,31937.0,9.0,7.0,0.0
UTTARAKHAND,2002,8578095,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,99,3,869,7976,72.28,53566.0,63.11341062969365,7.0,0.0,2128.0,51953575.0,32.0,177.0,554.0,1365.0,2128.0,3.3037491810508204,0.1143708862644992,-0.17037623453939554
WEST BENGAL,2002,81247274,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,4,12,6794,58962,69.22,88752.0,471.8295796452926,14.0,27.0,13545.0,334311396.0,204.0,544.0,348.0,12449.0,13545.0,0.0,0.0,0.0
A & N ISLANDS,2002,372096,17,3,1,2,0,2,2,1,1,1,0,7,49,49,2,47,11,4,11,0,2,97,0,17,3,4,0,0,328,0,1,27,608,81.42,8249.0,308.3353655871499,1872.1467087691767,0.0,106.0,1225426.0,1.0,7.0,49.0,49.0,106.0,3.09358010228085,15.61043100242539,7.990175049203502
CHANDIGARH,2002,921594,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,0,0,186,3806,82.17,114.0,50.265220554381074,70.0,2.0,2010.0,70225405.0,1.0,26.0,336.0,1647.0,2010.0,0.0,0.0,0.0
D & N HAVELI,2002,223867,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,0,0,15,349,60.13,491.0,-88.42292716577818,0.0,0.0,13355.309352517987,54500418.45696232,3.0,1.0,38.0,75.0,117.0,3.022017936797545,0.4501583831371856,-0.14732059946503107
DAMAN & DIU,2002,161035,8,3,0,0,0,0,3,2,1,2,0,1,56,56,35,21,16,5,10,0,2,18,0,0,0,3,0,0,78,0,0,5,261,80.68,112.0,-84.11975561112052,0.0,0.0,-14932.690647482013,-197275889.2139945,2.0,1.0,56.0,56.0,115.0,0.0,0.0,0.0
LAKSHADWEEP,2002,61720,0,0,0,1,0,1,0,0,0,0,0,0,9,12,0,12,18,0,0,0,2,5,0,1,0,0,0,0,5,1,0,2,53,86.89,32.0,-84.1320719781128,0.0,0.0,-16260.690647482013,-208840977.2278011,0.0,0.0,9.0,12.0,21.0,2.6884786456395005,-0.6019461184340207,0.5096163246994947
PUDUCHERRY,2002,988996,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,18,0,111,4437,81.43,479.0,-18.278380572651713,16.0,1.0,663.0,11230516.0,2.0,6.0,129.0,526.0,663.0,2.165417419245218,-0.6696050089434138,0.23315431930683417
ANDHRA PRADESH,2003,79247829,2667,1678,147,946,0,946,1485,931,554,176,5,660,9050,23408,4521,18887,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,3559,571,16929,156951,64.84,275045.0,1483.2434811142261,1842.0,51.0,35115.30935251799,1131701036.2643328,176.0,660.0,9050.0,23408.0,33294.0,22.0,10.0,0.0
ARUNACHAL PRADESH,2003,1140586,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,0,66,139,2061,59.54,83743.0,-54.64362997944156,196.0,0.0,38187.30935251799,276156353.00551236,37.0,60.0,253.0,370.0,720.0,7.0,0.0,0.0
ASSAM,2003,27348680,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,67,20,5198,38195,69.92,78438.0,-52.50030582668023,378.0,2.0,9125.0,150441676.0,471.0,523.0,2606.0,5525.0,9125.0,0.0,0.0,0.0
BIHAR,2003,85377870,3771,3540,298,985,0,985,2427,674,1753,1221,120,2463,2986,10124,1357,8767,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,1747,52,5184,92263,52.33,94163.0,54.981437434363215,265.0,28.0,35115.30935251799,838912598.6918378,1221.0,2463.0,2986.0,10124.0,16794.0,3.0,0.0,0.0
CHHATTISGARH,2003,21362393,776,513,51,898,0,898,177,149,28,140,14,331,3621,4170,922,3248,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,709,774,3313,38449,68.17,135191.0,384.0247265241454,1439.0,27.0,51499.30935251799,568184109.5177699,140.0,331.0,3621.0,4170.0,8262.0,7.0,0.0,7.0
GOA,2003,1394730,34,25,6,31,0,31,14,13,1,5,0,21,257,464,132,332,47,60,106,3,18,198,2,19,7,24,0,164,739,2,0,96,2244,82.58,3702.0,-4.007536966394326,84.0,0.0,747.0,25719702.0,5.0,21.0,257.0,464.0,747.0,2.311829192823452,-0.6470521929303539,0.2919976276679197
GUJARAT,2003,51888689,1114,478,29,236,0,236,1044,859,185,338,14,1267,5844,19304,7201,12103,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,1165,241,5647,103709,72.79,196024.0,1311.8021965542753,1750.0,64.0,26753.0,808802703.0,338.0,1267.0,5844.0,19304.0,26753.0,16.0,6.0,0.0
HARYANA,2003,21968240,702,446,76,353,0,353,388,271,117,63,190,281,2981,5591,3079,2512,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,195,0,4110,38612,69.7,44212.0,536.5339855841539,1451.0,29.0,8916.0,369239622.0,63.0,281.0,2981.0,5591.0,8916.0,3.0,0.0,0.0
HIMACHAL PRADESH,2003,6276624,125,74,5,126,0,126,113,96,17,8,0,19,707,627,218,409,610,63,130,3,121,1385,6,250,18,221,0,463,6937,107,12,717,12011,77.61,55673.0,-30.28296549293418,120.0,6.0,1323.3093525179866,-62654434.45195766,8.0,19.0,707.0,627.0,1361.0,0.0,0.0,0.0
JAMMU & KASHMIR,2003,10395258,929,1216,29,211,0,211,712,615,97,23,0,154,1526,1949,576,1373,1167,116,408,21,328,310,10,875,376,71,0,378,10424,5,1,2158,21233,58.49,222236.0,83.51547659244392,18.0,55.0,3652.0,129843802.0,23.0,154.0,1526.0,1949.0,3652.0,1.0,0.0,0.0
JHARKHAND,2003,27748929,1482,957,109,712,0,712,487,262,225,702,37,864,1468,4155,564,3591,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,76,108,2221,32203,58.16,74677.0,-245.87079216584186,709.0,18.0,26923.309352517987,464829502.3847364,702.0,864.0,1468.0,4155.0,7189.0,4.592058994328731,2.6060294308148,1.0209405763426505
KARNATAKA,2003,54650418,1506,1241,58,321,0,321,531,244,287,220,65,861,6055,14180,4296,9884,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,1844,167,4132,112405,69.04,191791.0,815.8087379914386,300.0,28.0,51499.30935251799,829536785.3059896,220.0,861.0,6055.0,14180.0,21316.0,12.0,2.0,0.0
KERALA,2003,32320885,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,439,65,5474,98824,91.26,38852.0,412.3498597893192,597.0,2.0,-5844.690647482013,18409636.880571365,142.0,634.0,4409.0,4891.0,10076.0,5.0435320626159905,-0.1408557019462826,0.08921453086479092
MADHYA PRADESH,2003,62354284,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,5507,1779,14485,191078,65.2,308245.0,2856.2985200285925,7040.0,29.0,35115.30935251799,1450407034.8016639,153.0,1578.0,12884.0,20422.0,35037.0,3.0,3.0,3.0
MAHARASHTRA,2003,99932458,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,697,217,11057,164306,78.46,307713.0,2805.404585386657,4551.0,81.0,53600.0,2172595866.0,514.0,2096.0,13892.0,37098.0,53600.0,2.0,2.0,0.0
MANIPUR,2003,2398400,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,0,4,137,2537,73.47,22327.0,-38.72617984799669,0.0,11.0,329.0,11398302.0,3.0,6.0,68.0,252.0,329.0,2.6925026789275126,-0.04762908042263625,0.30753274160801825
MEGHALAYA,2003,2392552,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,0,0,68,1669,64.94,22429.0,-86.37555809003872,32.0,4.0,736.0,231994840.0,83.0,133.0,160.0,360.0,736.0,0.0,0.0,0.0
MIZORAM,2003,907254,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,0,0,147,3456,88.49,21081.0,30.17428574605256,48.0,2.0,1816.0,17986793.0,5.0,21.0,487.0,1303.0,1816.0,2.5543084368900812,-0.6367718802942814,0.41919698603755284
NAGALAND,2003,2053734,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,27,263,24,976,67.62,16579.0,-15.633630194938043,0.0,0.0,427.0,7947483.0,19.0,92.0,95.0,221.0,427.0,0.0,0.0,0.0
ODISHA,2003,38146058,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,1157,484,4523,47281,66.88,155707.0,465.1507717051345,313.0,17.0,9373.0,175548564.0,178.0,875.0,2961.0,5359.0,9373.0,4.0,0.0,0.0
PUNJAB,2003,25052130,731,644,89,380,0,380,464,295,169,30,117,108,2094,3198,1375,1823,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,127,0,2317,28756,71.58,50362.0,102.49883588043156,100.0,109.0,-9940.690647482013,-102858696.95960373,30.0,108.0,2094.0,3198.0,5430.0,0.0,0.0,0.0
RAJASTHAN,2003,58125426,1262,1977,61,1050,0,1050,2238,1750,488,36,41,655,6072,16456,5491,10965,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,4329,912,11671,145579,61.67,342239.0,1292.2600465003616,1640.0,40.0,23219.0,585503429.0,36.0,655.0,6072.0,16456.0,23219.0,1.0,0.0,0.0
SIKKIM,2003,557825,14,7,3,10,0,10,0,0,0,2,0,3,48,65,3,62,10,7,12,3,2,56,0,25,0,1,0,18,157,7,6,36,443,70.54,7096.0,-40.404860613637055,17.0,1.0,118.0,5165122.0,2.0,3.0,48.0,65.0,118.0,2.3880494139201534,-0.32059790578693814,-0.05592381953286241
TAMIL NADU,2003,64584023,1591,1843,28,557,1,556,879,632,247,95,43,514,4849,18213,4581,13632,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,1495,67,5868,157186,75.61,130060.0,1069.852483075686,813.0,32.0,23671.0,464144227.0,95.0,514.0,4849.0,18213.0,23671.0,1.0,0.0,0.0
TRIPURA,2003,3283889,254,87,0,114,0,114,146,29,117,36,0,69,167,276,10,266,274,3,25,3,83,534,20,127,0,247,0,109,940,0,0,537,3514,76.18,10486.0,-56.402116210722724,0.0,39.0,548.0,13749705.0,36.0,69.0,167.0,276.0,548.0,2.4470400831362356,0.853384476020699,1.2005174869920765
UTTAR PRADESH,2003,172752379,5284,3793,1525,911,0,911,2208,1499,709,317,196,1988,4016,15751,5605,10146,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,2821,47,12426,95073,61.16,240928.0,1218.2141367690274,58.0,106.0,35115.30935251799,890613564.023868,317.0,1988.0,4016.0,15751.0,22072.0,1.0,0.0,0.0
UTTARAKHAND,2003,8667485,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,129,5,885,7923,72.94,53566.0,58.98074093709039,4.0,12.0,2111.0,51537513.0,26.0,160.0,557.0,1368.0,2111.0,3.3009025046501472,0.44924498688076797,0.1864332297011977
WEST BENGAL,2003,82303838,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,5,3,8338,61174,69.8,88752.0,485.6590238787262,40.0,18.0,13770.0,437117656.0,217.0,598.0,342.0,12613.0,13770.0,1.0,0.0,0.0
A & N ISLANDS,2003,388343,21,4,1,2,0,2,2,2,0,2,0,7,56,60,3,57,19,3,13,0,8,110,0,9,2,7,0,0,318,0,1,22,644,81.55,8249.0,307.51361902470506,1872.1452771377512,0.0,125.0,2912650.0,2.0,7.0,56.0,60.0,125.0,3.093840369851628,15.611862806438143,7.993139642520957
CHANDIGARH,2003,942787,21,15,2,18,0,18,32,28,4,3,1,12,204,1238,552,686,46,32,209,2,4,71,1,11,4,93,0,8,779,1,0,155,2806,82.39,114.0,-3.4813991901964982,111.0,4.0,-20180.690647482013,-178873357.33696827,3.0,12.0,204.0,1238.0,1457.0,0.0,0.0,0.0
D & N HAVELI,2003,227302,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,0,23,11,338,62.63,491.0,-87.02642836831549,2.0,0.0,10667.309352517987,30546028.43424642,4.0,6.0,41.0,61.0,112.0,2.989676830729,0.372545255392259,-0.0817266993671284
DAMAN & DIU,2003,163912,6,3,0,5,0,5,1,1,0,4,0,1,41,46,25,21,31,8,8,6,1,14,1,3,0,0,0,6,84,0,1,10,269,83.18,112.0,-48.67204448313395,2.0,0.0,92.0,11755706.0,4.0,1.0,41.0,46.0,92.0,0.0,0.0,0.0
LAKSHADWEEP,2003,62829,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,0,0,4,31,87.11,32.0,-45.86476306064491,0.0,0.0,14.0,178650.0,0.0,0.0,6.0,8.0,14.0,2.223545083043717,-0.9041061139884086,0.44680677074163944
PUDUCHERRY,2003,1003888,29,32,0,2,0,2,18,13,5,2,0,11,126,567,295,272,159,12,32,1,18,1053,1,56,27,4,0,182,2185,22,0,103,4517,81.63,479.0,-11.101502998509432,35.0,0.0,706.0,17810733.0,2.0,11.0,126.0,567.0,706.0,1.0,0.0,0.0
ANDHRA PRADESH,2004,80785460,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,3255,566,17075,158756,66.11,275045.0,1285.5622633067946,1304.0,61.0,51499.30935251799,1250713449.657308,199.0,596.0,8457.0,23578.0,32830.0,20.0,2.0,0.0
ARUNACHAL PRADESH,2004,1162440,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,0,75,148,2256,62.15,83743.0,-68.97199462031128,91.0,0.0,28459.309352517987,178679799.60858762,30.0,45.0,215.0,388.0,678.0,2.0,0.0,0.0
ASSAM,2004,27699685,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,20,12,5636,40675,73.25,78438.0,47.82960176430629,331.0,9.0,10539.309352517987,260332527.1627788,360.0,505.0,2544.0,5866.0,9275.0,4.4357293703630445,1.0323658064588122,0.003972909412346848
BIHAR,2004,86579841,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,2646,45,6847,108060,54.99,94163.0,215.75179196469207,213.0,17.0,43307.30935251799,988304916.0481746,1319.0,2986.0,3175.0,11113.0,18593.0,3.0,3.0,0.0
CHHATTISGARH,2004,21684049,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,698,676,3747,41927,69.92,135191.0,495.38914136579524,1499.0,17.0,18731.309352517987,321733015.41140723,106.0,363.0,3720.0,5014.0,9203.0,0.0,0.0,0.0
GOA,2004,1419054,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,0,0,104,2127,82.87,3702.0,-45.68774917335813,63.0,0.0,-11476.690647482013,-147039482.50113684,5.0,18.0,261.0,503.0,787.0,2.850678139289966,-0.5067944311400376,0.3543928260613489
GUJARAT,2004,52541743,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,1309,241,6178,105469,74.61,196024.0,1197.4219681000905,1828.0,61.0,18731.309352517987,976468830.8555878,360.0,1136.0,5828.0,18551.0,25875.0,8.0,6.0,0.0
HARYANA,2004,22389636,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,217,0,4208,39096,70.6,44212.0,511.91575803173487,1221.0,38.0,-5844.690647482013,216060473.0228594,52.0,244.0,2786.0,6558.0,9640.0,3.904705273007397,1.0452897736602118,1.0687339660512727
HIMACHAL PRADESH,2004,6379674,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,89,11,812,12326,78.17,55673.0,-18.31363024894651,115.0,8.0,-724.6906474820134,-83624263.47801627,1.0,25.0,766.0,643.0,1435.0,0.0,0.0,0.0
JAMMU & KASHMIR,2004,10526785,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,4,1,2195,21191,59.97,222236.0,28.003396310419873,11.0,65.0,55595.30935251799,376914968.8849826,28.0,129.0,1420.0,1939.0,3516.0,3.0,1.0,0.0
JHARKHAND,2004,28156879,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,126,123,2288,31439,60.46,74677.0,-125.59436582016224,709.0,34.0,18731.309352517987,391493274.6502539,580.0,780.0,1419.0,4374.0,7153.0,4.53643305436214,2.752421685425162,1.4115359369010507
KARNATAKA,2004,55639742,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,1643,173,3916,114440,70.53,191791.0,1024.8753239632638,421.0,23.0,35115.30935251799,803626065.5533334,177.0,1024.0,6093.0,16093.0,23387.0,0.0,0.0,0.0
KERALA,2004,32559088,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,438,82,6268,104025,91.46,38852.0,406.6205966395364,320.0,2.0,-14036.690647482013,-79214126.92840847,129.0,639.0,4580.0,5240.0,10588.0,4.5251492129758235,0.5711905835478341,-0.19654557184058952
MADHYA PRADESH,2004,63365917,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,4699,1667,15140,196867,65.93,308245.0,2871.8428695354673,6768.0,35.0,2347.3093525179866,1259204751.3502007,147.0,1526.0,12308.0,22586.0,36567.0,0.0,0.0,0.0
MAHARASHTRA,2004,101468210,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,715,231,11828,176302,79.27,307713.0,3275.061861745106,4934.0,85.0,-30420.690647482013,1771707747.5871491,629.0,2229.0,14659.0,43952.0,61469.0,3.0,7.0,0.0
MANIPUR,2004,2446833,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,0,0,134,2535,74.97,22327.0,-77.32518520554862,0.0,18.0,-6100.690647482013,-119986620.74575414,2.0,3.0,66.0,244.0,315.0,0.0,0.0,0.0
MEGHALAYA,2004,2430062,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,0,0,113,1752,66.13,22429.0,-136.3845027013756,53.0,1.0,6955.309352517987,18736696.83329442,91.0,81.0,142.0,418.0,732.0,0.0,0.0,0.0
MIZORAM,2004,916968,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,0,0,86,1515,88.49,21081.0,50.594220860163276,607.0,0.0,-24276.690647482013,-197903432.67582667,10.0,6.0,250.0,610.0,876.0,0.0,0.0,0.0
NAGALAND,2004,2086382,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,0,0,26,984,68.14,16579.0,-36.70842153741991,3.0,0.0,3883.3093525179866,-19233664.653934233,14.0,117.0,70.0,255.0,456.0,0.0,0.0,0.0
ODISHA,2004,38824778,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,1398,519,4685,48739,68.78,155707.0,444.9196564320239,354.0,8.0,43307.30935251799,527328225.2215617,238.0,952.0,2992.0,5967.0,10149.0,4.0,2.0,0.0
PUNJAB,2004,25405054,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,134,0,1914,25630,72.55,50362.0,72.6486658021006,79.0,93.0,-5844.690647482013,-84220911.68376817,17.0,86.0,1766.0,2587.0,4456.0,0.0,0.0,0.0
RAJASTHAN,2004,58937566,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,4360,1031,12946,154859,62.3,342239.0,1394.7922552673426,1729.0,46.0,67883.30935251799,1299632473.4874182,58.0,673.0,5911.0,18842.0,25484.0,8.869920533834556,2.287206550923197,-0.24455747608000689
SIKKIM,2004,566619,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,16,32,48,631,71.41,7096.0,-78.40832719826622,13.0,0.0,2475.3093525179866,-43828344.72796766,0.0,5.0,64.0,73.0,142.0,3.04614024586811,0.013966318514182952,0.12989288890546247
TAMIL NADU,2004,65698096,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,1156,27,5914,166606,76.7,130060.0,1051.142622919475,797.0,50.0,2347.3093525179866,696047539.246306,72.0,464.0,4147.0,17530.0,22213.0,1.0,1.0,0.0
TRIPURA,2004,3326479,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,1,0,670,3081,77.67,10486.0,-86.7077641359758,0.0,11.0,-4564.690647482013,-100581954.69720493,27.0,46.0,166.0,260.0,499.0,2.9557834697829186,0.3926896600632448,0.6070486891899289
UTTAR PRADESH,2004,176133744,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,3785,5,14964,130181,63.06,240928.0,1762.8105109628236,129.0,111.0,35115.30935251799,1219896875.1717882,378.0,2606.0,5299.0,22524.0,30807.0,3.8595012525016337,8.65596706578556,0.49680610140699377
UTTARAKHAND,2004,8757523,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,137,3,982,8634,73.6,53566.0,22.033534449010745,16.0,6.0,10539.309352517987,74494619.53120562,37.0,165.0,566.0,1597.0,2365.0,3.9802726412007847,0.25407472132381415,0.15728271731724464
WEST BENGAL,2004,83344579,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,14,9,10865,69350,70.38,88752.0,569.7239054311758,88.0,16.0,-5844.690647482013,598496756.8855046,212.0,535.0,547.0,14465.0,15759.0,0.0,0.0,0.0
A & N ISLANDS,2004,404902,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,0,1,27,748,81.67,8249.0,297.23135610182055,1872.1437435240766,3.0,-19924.690647482013,-23394514.966691047,0.0,3.0,69.0,103.0,175.0,2.4044335639811973,13.84300172248145,6.850722413307196
CHANDIGARH,2004,964215,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,0,0,179,2889,82.62,114.0,6.076735739495319,105.0,2.0,-16084.690647482013,-131891865.73350891,0.0,6.0,186.0,1459.0,1651.0,2.4473092383015915,-0.45469420591491794,0.34955275461705515
D & N HAVELI,2004,230756,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,0,4,22,409,65.13,491.0,-87.5923206565656,4.0,0.0,7787.309352517987,5645752.286870524,3.0,2.0,20.0,53.0,78.0,2.956131534884035,0.25568706358328264,-0.0175818371460994
DAMAN & DIU,2004,166835,3,1,0,1,0,1,2,0,2,0,0,1,35,27,12,15,19,4,5,0,2,17,0,1,0,4,0,25,51,0,1,6,198,85.68,112.0,-82.92290924707845,0.0,0.0,-14836.690647482013,-196744727.32056978,0.0,1.0,35.0,27.0,63.0,2.7179157108538714,-0.5549844165493294,0.4743190554605916
LAKSHADWEEP,2004,63976,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,0,0,1,70,87.34,32.0,-84.46715879413912,0.0,0.0,-16756.690647482013,-213226200.3777339,0.0,0.0,2.0,5.0,7.0,2.6813085211925607,-0.6214035788591259,0.5220597831838139
PUDUCHERRY,2004,1019077,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,23,0,100,4620,81.82,479.0,-45.04828916132058,55.0,0.0,-11476.690647482013,-133198962.05119035,0.0,1.0,86.0,634.0,721.0,2.6625936015826084,-0.4475643899689672,0.35663996869626935
